Route,rte_class,Total_Riders_2015,Total_Riders_2019,SumOfInSrvHrs_2015,SumOfInSrvHrs_2019
801,SuburbL,90107.9407114625,72643,4409.35,4440.15
805,SuburbL,90568.7199604743,76393,6013.81,6013.81
824,CoreLoc,41000,38832,1133.44,1158.74
825,CoreLoc,154200,122829,4979.04,4583.97
831,SuburbL,34340.9494071146,22909,2636.26,2625.84
850,CommExp,536682,434243,9791.56,8731.05
852,CommExp,240215,201976,10714.99,10788.54
854,CommExp,133649,104583,3929.09,3340.81
860,CommExp,123509,111850,3837.58,3580.74
865,CommExp,132553,127124,3858.02,3071.42
